CPU	 1	 0.016675
CPU	 3	 0.016675
CPU	 5	 0.033325
CPU	 7	 0.016675
CPU	 9	 0.01665
CPU	 11	 0.016675
CPU	 13	 0.01665
CPU	 15	 0.016675
CPU	 17	 0.033325
CPU	 19	 0.033325
CPU	 21	 0.016675
CPU	 23	 0.033325
CPU	 25	 0.01665
CPU	 27	 0.016675
CPU	 29	 0.016675
CPU	 31	 0.016675
CPU	 33	 0.033325
CPU	 35	 0.01665
CPU	 37	 0.033325
CPU	 39	 0.016675
CPU	 41	 0.033325
CPU	 43	 0.033325
CPU	 45	 0.033325
CPU	 47	 0.01665
CPU	 49	 0.01665
CPU	 51	 0.033325
CPU	 53	 0.03335
CPU	 55	 0.03335
CPU	 57	 0.033325
CPU	 59	 0.033325
CPU	 61	 0.03335
CPU	 63	 0.016675
CPU	 65	 0.01665
CPU	 67	 0.03335
CPU	 69	 0.033325
CPU	 71	 0.03335
CPU	 73	 0.01665
CPU	 75	 0.03335
CPU	 77	 0.05
CPU	 79	 0.03335
CPU	 81	 0.033325
CPU	 83	 0.033325
CPU	 85	 0.03335
CPU	 87	 0.05
CPU	 89	 0.033325
CPU	 91	 0.033325
CPU	 93	 0.016675
CPU	 95	 0.03335
CPU	 97	 0.05
CPU	 99	 0.033325
IO	 24	 2035.45
IO	 34	 2035.9
IO	 4	 2036.65
IO	 30	 2036.32
IO	 0	 2037.15
IO	 50	 2036.25
IO	 18	 2037
IO	 58	 2036.27
IO	 60	 2036.23
IO	 46	 2036.75
IO	 48	 2036.7
IO	 56	 2036.48
IO	 38	 2037.17
IO	 40	 2037.33
IO	 8	 2037.98
IO	 22	 2037.9
IO	 16	 2038.03
IO	 20	 2038.03
IO	 84	 2036.22
IO	 12	 2038.28
IO	 2	 2038.42
IO	 86	 2036.23
IO	 70	 2037
IO	 78	 2036.77
IO	 36	 2038.12
IO	 28	 2038.35
IO	 6	 2038.68
IO	 14	 2038.58
IO	 52	 2037.77
IO	 62	 2037.58
IO	 10	 2038.83
IO	 26	 2038.67
IO	 76	 2037.23
IO	 90	 2036.7
IO	 88	 2036.88
IO	 42	 2038.58
IO	 64	 2037.93
IO	 68	 2037.85
IO	 32	 2038.88
IO	 74	 2037.63
IO	 44	 2038.6
IO	 66	 2037.95
IO	 54	 2038.37
IO	 92	 2036.95
IO	 72	 2037.78
IO	 82	 2037.47
IO	 96	 2036.85
IO	 80	 2037.55
IO	 98	 2036.77
IO	 94	 2036.95
